"id","spot_id","tag_id","created_at","updated_at"
149,390,6,"2021-04-01 12:31:28.208318","2021-04-01 12:31:28.208318"
150,139,6,"2021-04-01 12:33:57.156776","2021-04-01 12:33:57.156776"
151,1531,13,"2021-04-01 12:42:26.762733","2021-04-01 12:42:26.762733"
152,107,6,"2021-04-01 12:57:57.156611","2021-04-01 12:57:57.156611"
153,1362,6,"2021-04-01 13:01:04.661527","2021-04-01 13:01:04.661527"
154,667,1,"2021-04-01 13:03:26.721597","2021-04-01 13:03:26.721597"
155,411,6,"2021-04-01 13:13:23.124452","2021-04-01 13:13:23.124452"
156,56,1,"2021-04-02 00:19:35.79654","2021-04-02 00:19:35.79654"
157,1565,13,"2021-04-02 00:39:46.512217","2021-04-02 00:39:46.512217"
158,335,6,"2021-04-11 22:22:04.528939","2021-04-11 22:22:04.528939"
159,580,13,"2021-04-11 22:23:34.65647","2021-04-11 22:23:34.65647"
160,27,1,"2021-04-11 23:47:58.508998","2021-04-11 23:47:58.508998"
161,2350,13,"2021-04-12 00:12:28.615039","2021-04-12 00:12:28.615039"
162,711,13,"2021-04-12 01:25:40.335674","2021-04-12 01:25:40.335674"
163,418,1,"2021-04-12 01:31:07.250055","2021-04-12 01:31:07.250055"
164,1602,6,"2021-04-12 01:46:15.732527","2021-04-12 01:46:15.732527"
165,1690,6,"2021-04-12 01:53:07.210099","2021-04-12 01:53:07.210099"
166,1559,6,"2021-04-12 02:09:17.235321","2021-04-12 02:09:17.235321"
167,1039,1,"2021-04-12 02:27:47.189321","2021-04-12 02:27:47.189321"
